MonsterId,CardIndex,DevName,NameKey,ResourcePack,PoolStatus,Cost,BaseStatTier,HP,Attack,AttackInterval,AttackIntervalTicks,FirstAttackDelay,FirstAttackDelayTicks,MoveSpeed,RangeClass,AttackRange,NexusDamage,TargetingRule,SecondaryTargetLane,SecondaryDamageRate,EffectType,EffectValue,EffectValue2,EffectTarget,EffectMaxTargets,EffectDuration,EffectTextKey,RoleTextKey,DescriptionTextKey,Rarity
slime,1,슬라임,monster.slime.name,,M1Base,1,1,300,75,1.30,78,0.30,18,1.10,Melee,0.55,1,FrontmostSameLane,None,0,None,0,0,None,0,None,effect.none,monster.slime.role,monster.slime.description,Common
ribbon_pig,2,리본돼지,monster.ribbon_pig.name,,M1Base,2,1,350,90,1.05,63,0.30,18,1.25,Melee,0.60,2,FrontmostSameLane,None,0,MoveDownOneLane,1,0,EarlierAllySameColumn,1,CurrentCombat,effect.ribbon_pig.move_down,monster.ribbon_pig.role,monster.ribbon_pig.description,Common
green_mushroom,3,초록버섯,monster.green_mushroom.name,,M1Base,3,2,320,90,1.25,75,0.30,18,0.85,Ranged,2.20,3,FrontmostSameLane,Top,0.5,SecondaryLaneAttack,0,0,FrontmostTopEnemy,1,CurrentCombat,effect.green_mushroom.top_attack,monster.green_mushroom.role,monster.green_mushroom.description,Common
stone_golem,4,스톤골렘,monster.stone_golem.name,,M1Base,4,4,1000,120,1.60,96,0.30,18,0.55,Melee,0.65,4,FrontmostSameLane,None,0,None,0,0,None,0,None,effect.none,monster.stone_golem.role,monster.stone_golem.description,Common
yeti,5,예티,monster.yeti.name,,M1Base,5,4,550,135,1.50,90,0.30,18,0.75,Melee,0.70,8,FrontmostSameLane,None,0,None,0,0,None,0,None,effect.none,monster.yeti.role,monster.yeti.description,Rare
junior_balrog,6,주니어 발록,monster.junior_balrog.name,,M1Base,6,4,650,120,1.40,84,0.30,18,0.80,Ranged,2.40,6,FrontmostSameLane,None,0,AttackBuff,30,0,EarlierAlliesMiddle,2,CurrentCombat,effect.junior_balrog.middle_buff,monster.junior_balrog.role,monster.junior_balrog.description,Rare
pink_bean,7,핑크빈,monster.pink_bean.name,mob/8820212.img,M1Base,8,7,850,180,1.20,72,0.30,18,0.75,Ranged,2.60,8,FrontmostSameLane,Bottom,0.5,SecondaryLaneAttack,0,0,FrontmostBottomEnemy,1,CurrentCombat,effect.pink_bean.bottom_attack,monster.pink_bean.role,monster.pink_bean.description,Legendary
drake,0,드레이크,monster.drake.name,,BalanceReference,5,5,600,120,1.20,72,0.30,18,1.00,Melee,0.70,5,FrontmostSameLane,None,0,None,0,0,None,0,None,effect.none,monster.drake.role,monster.drake.description,Common
orange_mushroom,0,주황버섯,monster.orange_mushroom.name,mob/1210102.img,ExpansionCandidate,1,1,200,60,0.75,45,0.30,18,1.25,Melee,0.55,1,FrontmostSameLane,None,0,None,0,0,None,0,None,effect.none,monster.orange_mushroom.role,monster.orange_mushroom.description,Common
stump,0,스텀프,monster.stump.name,mob/0130100.img,ExpansionCandidate,2,2,550,60,1.60,96,0.30,18,0.55,Melee,0.60,2,FrontmostSameLane,None,0,ForcedMoveGuard,1,0,Self,1,CurrentCombat,effect.stump.move_guard,monster.stump.role,monster.stump.description,Common
wild_boar,0,와일드보어,monster.wild_boar.name,mob/2230102.img,ExpansionCandidate,3,3,450,105,1.30,78,0.30,18,1.30,Melee,0.65,3,FrontmostSameLane,None,0,FirstAttackBonus,60,0,CurrentTarget,1,FirstAttack,effect.wild_boar.first_attack,monster.wild_boar.role,monster.wild_boar.description,Common
iron_hog,0,아이언호그,monster.iron_hog.name,mob/4090000.img,ExpansionCandidate,4,4,750,90,1.35,81,0.30,18,0.75,Melee,0.65,4,FrontmostSameLane,None,0,FlatDamageReduction,30,10,Self,1,CurrentCombat,effect.iron_hog.damage_reduction,monster.iron_hog.role,monster.iron_hog.description,Rare
mushmom,0,머쉬맘,monster.mushmom.name,mob/6130101.img,ExpansionCandidate,5,5,650,135,1.50,90,0.30,18,0.70,Melee,0.80,5,FrontmostSameLane,None,0,SecondFrontTargetDamage,90,0,SecondFrontmostSameLaneEnemy,1,CurrentCombat,effect.mushmom.second_target,monster.mushmom.role,monster.mushmom.description,Rare
